#{"t_start": 1717770471.9942374, "env_id": "Marlin-v1"}
r,l,t
-180.047765,200,67029.575064
-177.064502,200,67105.056964
-176.193922,200,67179.93176
-182.621413,200,67258.858088
-180.60871,200,67331.328315
-180.257635,200,67406.744191
-176.02871,200,67483.75555
-183.824809,200,67560.174154
-181.025721,200,67634.354538
-180.988007,200,67708.795841
-179.703136,200,67782.072375
-170.768892,200,67858.748981
-186.033908,200,67934.485456
-178.323012,200,68006.667339
-181.953718,200,68082.371989
-176.113505,200,68157.709095
-183.344971,200,68232.651853
-178.246111,200,68306.153624
-178.42689,200,68380.55987
-177.50352,200,68455.534899
-176.654889,200,68533.73362
-185.100718,200,68611.320502
-180.626744,200,68688.858639
-179.458472,200,68763.205652
-183.007667,200,68843.658878
-179.528494,200,68918.940091
-180.863121,200,68996.249104
-184.034943,200,69072.414664
-174.356399,200,69147.330663
-178.479128,200,69222.199067
-180.146336,200,69298.278205
-179.883917,200,69373.799916
-169.872288,200,69450.632135
-179.720018,200,69526.631148
-184.623751,200,70784.11544
-177.97048,200,70859.842739
-182.182182,200,70934.508909
-176.595216,200,71013.85365
-186.419204,200,71085.005901
-177.768703,200,71161.237437
-178.309139,200,71233.994295
-181.138405,200,71307.625217
-183.080298,200,71381.318393
-178.798299,200,71458.943453
-179.394009,200,71535.118074
-179.163607,200,71610.497603
-176.930497,200,71692.183068
-178.460381,200,71767.966285
-180.688827,200,71842.665298
-179.337848,200,71917.538742
-175.774666,200,71995.585583
-183.56721,200,72071.768814
-178.874946,200,72149.192244
-177.549083,200,72226.779956
-173.535578,200,72307.340185
-182.605432,200,72379.910094
-177.997078,200,72455.764463
-180.361036,200,72532.825792
-180.393522,200,72610.062866
-181.549079,200,72683.414797
-183.868527,200,72760.187485
-181.32104,200,72835.043277
-182.375711,200,72909.161928
-179.316778,200,72988.111863
-182.645671,200,73061.406773
-182.631814,200,73139.742325
-179.915964,200,73216.299626
-185.676964,200,73292.225918
-185.976005,200,73367.282425
-181.603769,200,73445.293458
-182.31285,200,73521.818192
-175.867438,200,73600.331168
-177.733286,200,73673.381548
-178.671091,200,73748.741617
-181.70249,200,73822.080998
-177.485239,200,73897.319528
-182.226015,200,73976.442435
-177.609118,200,74051.309189
-181.342283,200,74128.431725
-190.389581,200,74213.799951
-179.930681,200,74291.09426
-176.524475,200,74369.529966
-177.968593,200,74444.458793
-182.001014,200,74521.544181
-186.714611,200,75779.376761
-174.551767,200,75856.085091
-182.818343,200,75937.545864
-174.251869,200,76020.144159
-182.552939,200,76092.741122
-181.997491,200,76166.303284
-181.3302,200,76241.483541
-176.744911,200,76318.617611
-179.677643,200,76394.239132
-184.485969,200,76470.94205
-178.145947,200,76544.672258
-181.966439,200,76621.96822
-180.260311,200,76699.808541
-181.265019,200,76777.854517
-177.440358,200,76857.809427
-175.709051,200,76932.758866
-177.114047,200,77009.808702
-172.521151,200,77089.795724
-180.098338,200,77167.314498
-181.223952,200,77243.282221
